Make,Model,Logo,janv-12,Feb 2012,mars-12,Apr 2012,May 2012,juin-12,juil-12,Aug 2012,sept-12,oct-12,nov-12,Dec 2012,janv-13,Feb 2013,mars-13,Apr 2013,May 2013,juin-13,juil-13,Aug 2013,sept-13,oct-13,nov-13,Dec 2013,janv-14,Feb 2014,mars-14,Apr 2014,May 2014,juin-14,juil-14,Aug 2014,sept-14,oct-14,nov-14,Dec 2014,janv-15,Feb 2015,mars-15,Apr 2015,May 2015,juin-15,juil-15,Aug 2015,sept-15,oct-15,nov-15,Dec 2015,janv-16,Feb 2016,mars-16,Apr 2016,May 2016,juin-16,juil-16,Aug 2016,sept-16,oct-16,nov-16,Dec 2016,janv-17,Feb 2017,mars-17,Apr 2017,May 2017,juin-17,juil-17,Aug 2017,sept-17,oct-17,nov-17,Dec 2017,janv-18,Feb 2018,mars-18,Apr 2018,May 2018,juin-18,juil-18,Aug 2018,sept-18,oct-18,nov-18,Dec 2018,janv-19,Feb 2019,mars-19,Apr 2019,May 2019,juin-19,juil-19,Aug 2019,sept-19,oct-19,nov-19,Dec 2019
Fiat,500e,https://www.carlogos.org/logo/Fiat-logo-2006-1920x1080.png,0.0,,,,,,,,,,,,,,,,,,200.0,560.0,1010.0,1410.0,1840.0,2310.0,2620.0,2956.0,3600.0,4042.0,4518.0,5154.0,5682.0,6217.0,6735.0,6952.0,7163.0,7442.0,7701.0,8016.0,9326.0,10043.0,10463.0,10826.0,11311.0,11921.0,12556.0,12981.0,13371.0,13636.0,13941.0,14151.0,14606.0,15001.0,15426.0,15706.0,15931.0,16291.0,16981.0,17726.0,18316.0,18966.0,19718.0,20308.0,21093.0,21634.0,22107.0,22466.0,22861.0,23151.0,23436.0,23746.0,23961.0,24346.0,24556.0,24791.0,25076.0,25291.0,25541.0,25766.0,25986.0,26061.0,26155.0,26255.0,26403.0,26596.0,26668.0,26755.0,26788.0,26808.0,"26,868","26,893","26,933","26,978","27,018","27,068‬","27,118","27,211"
Smart,ED,https://www.carlogos.org/logo/Smart-logo-1994-1366x768.png,0.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,62.0,115.0,173.0,355.0,492.0,603.0,756.0,923.0,1020.0,1142.0,1328.0,1531.0,1737.0,2015.0,2313.0,2521.0,2703.0,2853.0,3166.0,3517.0,3664.0,3740.0,3843.0,3967.0,4069.0,4163.0,4272.0,4378.0,4472.0,4547.0,4725.0,4904.0,4952.0,5006.0,5076.0,5142.0,5217.0,5270.0,5332.0,5387.0,5431.0,5474.0,5521.0,5561.0,5576.0,5598.0,5611.0,5614.0,5615.0,5618.0,5618.0,5712.0,5835.0,5908.0,5976.0,6105.0,6189.0,6279.0,6382.0,6462.0,6572.0,6698.0,6801.0,6909.0,7007.0,7102.0,7202.0,7324.0,7407.0,7465.0,7555.0,7640.0,"7,746","7,82","7,876","7,95","8,004","8,004","8,004","8,004"
Chevrolet,Spark EV,https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png,,,,,,,,,,,,,,,,,,27.0,130.0,232.0,310.0,376.0,463.0,539.0,632.0,703.0,811.0,908.0,1090.0,1175.0,1303.0,1383.0,1434.0,1492.0,1553.0,1684.0,1770.0,1889.0,2040.0,2960.0,3243.0,3469.0,3526.0,3661.0,3818.0,3995.0,4161.0,4313.0,4452.0,4668.0,4920.0,5339.0,5733.0,6092.0,6425.0,6717.0,7032.0,7292.0,7331.0,7348.0,7352.0,7356.0,7359.0,7360.0,7360.0,7361.0,7362.0,7362.0,7362.0,7362.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369.0,7369,7369,7369,7369,7369,7369,7369,7369
Honda,Accord PHV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,,,,,,,,,,,,,2.0,19.0,45.0,100.0,158.0,200.0,254.0,298.0,349.0,420.0,488.0,526.0,553.0,577.0,595.0,632.0,678.0,706.0,747.0,793.0,835.0,869.0,912.0,975.0,1003.0,1015.0,1020.0,1025.0,1030.0,1034.0,1035.0,1037.0,1037.0,1037.0,1038.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039.0,1039,1039,1039,1039,1039,1039,1039,1039
Porsche,Panamera E-Hybrid,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,35.0,39.0,86.0,227.0,284.0,340.0,403.0,456.0,567.0,630.0,698.0,780.0,877.0,934.0,965.0,1026.0,1066.0,1110.0,1140.0,1161.0,1195.0,1218.0,1254.0,1295.0,1323.0,1356.0,1372.0,1399.0,1432.0,1455.0,1480.0,1506.0,1528.0,1549.0,1608.0,1636.0,1674.0,1762.0,1765.0,1767.0,1768.0,1771.0,1773.0,1774.0,1774.0,1774.0,1775.0,1776.0,1778.0,1783.0,1783.0,1784.0,1786.0,1835.0,2171.0,2446.0,2614.0,2809.0,3009.0,3219.0,3389.0,3589.0,3819.0,3969.0,4129.0,4324.0,4479.0,"4,649","4,844","5,009","5,174","5,349","5,522‬","5,695‬","5,879"
Cadillac,ELR,https://www.carlogos.org/logo/Cadillac-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,6.0,47.0,105.0,186.0,247.0,299.0,396.0,584.0,780.0,891.0,1043.0,1198.0,1316.0,1408.0,1535.0,1627.0,1731.0,1847.0,1909.0,1975.0,2020.0,2056.0,2138.0,2205.0,2340.0,2407.0,2498.0,2602.0,2697.0,2742.0,2836.0,2851.0,2857.0,2863.0,2866.0,2871.0,2874.0,2877.0,2877.0,2879.0,2881.0,2881.0,2888.0,2890.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891,2891,2891,2891,2891,2891,2891,2891
BMW,i3,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,694.0,1057.0,2082.0,3104.0,4263.0,5079.0,6092.0,6762.0,7851.0,8773.0,9179.0,9997.0,10548.0,11483.0,12275.0,13985.0,14971.0,15694.0,17116.0,17298.0,17546.0,17878.0,18692.0,19388.0,19996.0,21475.0,22488.0,22879.0,23321.0,23950.0,24741.0,25123.0,25441.0,26144.0,26660.0,27166.0,27733.0,28334.0,28838.0,29376.0,30062.0,30345.0,31017.0,31399.0,32022.0,33014.0,33517.0,33941.0,34521.0,34985.0,35403.0,35864.0,36288.0,36778.0,37134.0,37389.0,37739.0,38098.0,38429.0,"38,868","39,341","39,645","40,03","40,497","40,856","41,774","41,988"
Mercedes,B-Class ED,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,92.0,157.0,255.0,448.0,774.0,1014.0,1123.0,1268.0,1426.0,1704.0,1946.0,2142.0,2314.0,2461.0,2542.0,2583.0,2680.0,2738.0,2775.0,2841.0,2897.0,2946.0,2990.0,3040.0,3097.0,3148.0,3206.0,3258.0,3312.0,3365.0,3421.0,3471.0,3537.0,3583.0,3629.0,3710.0,3768.0,3855.0,3914.0,3945.0,4056.0,4096.0,4145.0,4178.0,4185.0,4188.0,4188.0,4188.0,4189.0,4189.0,4190.0,4190.0,4191.0,4192.0,4194.0,4194.0,4195.0,4195,4197,4198,4199,4199,4200,4200,4200
BMW,i8,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,67.0,271.0,397.0,555.0,640.0,753.0,896.0,1034.0,1151.0,1288.0,1505.0,1715.0,1897.0,2046.0,2164.0,2820.0,2852.0,2906.0,2995.0,3125.0,3271.0,3440.0,3606.0,3751.0,3909.0,4108.0,4281.0,4414.0,4464.0,4522.0,4571.0,4594.0,4612.0,4634.0,4689.0,4718.0,4745.0,4778.0,4822.0,4902.0,4934.0,4973.0,5020.0,5077.0,5141.0,5186.0,5258.0,5325.0,5380.0,5444.0,5577.0,5674.0,5697.0,5744.0,5835.0,5922.0,"6,067","6,347","6,448","6,538","6,606","6,67","6,725","6,776"
Kia,Soul EV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,249.0,359.0,428.0,476.0,539.0,612.0,720.0,829.0,888.0,981.0,1086.0,1195.0,1278.0,1374.0,1455.0,1515.0,1594.0,1733.0,1853.0,1987.0,2166.0,2319.0,2536.0,2726.0,2905.0,3102.0,3219.0,3371.0,3542.0,3709.0,3838.0,3938.0,4083.0,4383.0,4638.0,4848.0,5055.0,5259.0,5374.0,5537.0,5694.0,5846.0,5979.0,6036.0,6166.0,6199.0,6217.0,6278.0,6339.0,6393.0,6393.0,6394.0,6396.0,6396.0,6397,6397,6398,"6,406‬","6,471","6,476","6,479","6,48"
VW,e-Golf,https://www.carlogos.org/logo/Volkswagen-logo-2015-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,120.0,357.0,538.0,668.0,863.0,1172.0,1582.0,1875.0,2188.0,2569.0,2912.0,3508.0,3980.0,4589.0,4917.0,5115.0,5201.0,5527.0,5796.0,6044.0,6388.0,6842.0,7371.0,7778.0,8083.0,8526.0,8858.0,9151.0,9493.0,9800.0,10181.0,10413.0,10721.0,11038.0,11225.0,11428.0,11717.0,12060.0,12238.0,12436.0,12600.0,12728.0,12804.0,12836.0,12854.0,12886.0,12900.0,12962.0,13192.0,13414.0,13578.0,13696.0,14277.0,14677.0,"14,941","15,307","15,767","16,456","17,01","17,647","18,013","18,277"
Porsche,Cayenne S-E,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,100.0,166.0,237.0,309.0,397.0,502.0,590.0,667.0,750.0,820.0,945.0,1066.0,1203.0,1349.0,1521.0,1765.0,2002.0,2193.0,2369.0,2517.0,2714.0,2845.0,2983.0,3162.0,3314.0,3491.0,3612.0,3738.0,3923.0,4097.0,4292.0,4452.0,4630.0,4754.0,4827.0,4865.0,4888.0,5001.0,5122.0,5319.0,5584.0,5643.0,5655.0,5670.0,5715.0,5775.0,5800.0,5835.0,5910.0,5975.0,6070.0,6185.0,6255.0,"6,36","6,435","6,53","6,63","6,735","6,835‬","6,94","7,05"
BMW,X5 xDrive40e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,285.0,892.0,1073.0,1418.0,1731.0,2386.0,2886.0,3469.0,4118.0,4994.0,5476.0,5882.0,6318.0,6887.0,7149.0,7424.0,7821.0,8112.0,8545.0,9033.0,9496.0,9813.0,10146.0,10475.0,11404.0,12236.0,12497.0,13093.0,13720.0,14283.0,14782.0,15103.0,15534.0,15798.0,16023.0,16247.0,16460.0,16670.0,16741.0,16779.0,16805.0,16814.0,"16,818","16,826","16,83","16,832","16,833","16,835","16,836","16,837"
Tesla,Model X,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,15.0,214.0,484.0,754.0,2614.0,3409.0,5009.0,7154.0,7904.0,9737.0,12937.0,13662.0,14562.0,18437.0,19187.0,19987.0,22737.0,23452.0,25182.0,27382.0,29032.0,30607.0,33727.0,34577.0,36452.0,39752.0,40452.0,41427.0,44252.0,45277.0,46727.0,49277.0,50602.0,53352.0,57327.0,58552.0,61752.0,65852.0,66627.0,67527.0,69702.0,70752.0,"72,127","74,852","76,077","77,902","79,577","81,077","83,077","85,077"
Porsche,918 Spyder,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,48.0,58.0,86.0,106.0,135.0,175.0,197.0,201.0,201.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203.0,203,203,203,203,203,203,203,203
Hyundai,Sonata PHEV,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,160.0,335.0,535.0,810.0,1060.0,1295.0,1520.0,1895.0,2130.0,2390.0,2645.0,2930.0,3255.0,3445.0,3620.0,3915.0,4195.0,4415.0,4670.0,4875.0,5060.0,5250.0,5460.0,5595.0,5790.0,5842.0,5896.0,5974.0,6012.0,6079.0,6141.0,6201.0,6221.0,6236.0,6241.0,6246.0,6250.0,6254.0,6325.0,6332.0,6378.0,"6,418","6,448","6,483","6,523","6,568","6,614‬","6,659‬","6,713‬"
Mercedes,S550e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,20.0,37.0,62.0,83.0,118.0,137.0,173.0,185.0,214.0,241.0,268.0,300.0,330.0,371.0,545.0,597.0,668.0,723.0,774.0,834.0,915.0,998.0,1079.0,1203.0,1235.0,1270.0,1286.0,1308.0,1334.0,1347.0,1350.0,1361.0,1370.0,1377.0,1384.0,1392.0,1402.0,1410.0,1415.0,1419.0,1430.0,1438.0,1448.0,1470.0,1505.0,"1,556","1,616","1,666","1,69","1,706","1,759‬","1,784‬","1,801"
Volvo,XC90,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,5.0,12.0,86.0,312.0,488.0,666.0,816.0,926.0,1092.0,1270.0,1446.0,1594.0,1736.0,1897.0,2101.0,2197.0,2280.0,2383.0,2528.0,2674.0,2876.0,3050.0,3315.0,3551.0,3725.0,3929.0,4297.0,4396.0,4502.0,4595.0,4685.0,4811.0,4944.0,5059.0,5184.0,5304.0,5404.0,5534.0,5684.0,5779.0,5884.0,6039.0,6139.0,"6,259","6,429","6,539","6,664","6,839","6,839","6,839","6,839"
Audi,A3 Sprtbk e-tron,https://www.carlogos.org/logo/Audi-logo-2009-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,376.0,619.0,951.0,1277.0,1638.0,1991.0,2340.0,2686.0,2998.0,3346.0,3740.0,4329.0,4716.0,5116.0,5530.0,5831.0,6125.0,6449.0,6667.0,6796.0,6881.0,6898.0,6936.0,7206.0,7351.0,7550.0,7764.0,7953.0,8220.0,8458.0,8678.0,8918.0,9148.0,9358.0,9538.0,9803.0,9978.0,10188.0,10233.0,10240.0,10240,10240,10240,10240,10240,10240,10240,10240
Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,19.0,24.0,28.0,32.0,32.0,32.0,32.0,32.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35,35,35,35,35,35,35,35
Toyota,Prius Prime,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.0,2422.0,3788.0,5150.0,6768.0,8587.0,10495.0,12114.0,13759.0,15579.0,17478.0,19104.0,20938.0,23358.0,24854.0,26904.0,29826.0,32452.0,35376.0,37613.0,39597.0,41668.0,43881.0,45882.0,48194.0,50953.0,52076.0,53281.0,55101.0,56500.0,"58,414","59,558","62,508","65,008","66,658","68,976‬","71,766‬","74,583‬"
